state,rep_trifecta_acq,first_acquisition_year,rep_trifecta_2009,rep_trifecta_2010,in_analysis_sample,ban_group
AK,1,2013.0,0.0,0.0,1,CorpUnion
AL,1,2011.0,0.0,0.0,1,Controls
AR,0,,0.0,0.0,1,Controls
AZ,0,,1.0,1.0,1,CorpUnion
CA,0,,0.0,0.0,1,Controls
CO,0,,0.0,0.0,0,Controls
CT,0,,0.0,0.0,1,CorpOnly
DC,0,,0.0,0.0,1,Controls
DE,0,,0.0,0.0,1,Controls
FL,0,,1.0,0.0,1,Controls
GA,0,,1.0,1.0,1,Controls
HI,0,,0.0,0.0,1,Controls
IA,0,,0.0,0.0,1,CorpOnly
ID,0,,1.0,1.0,1,Controls
IL,0,,0.0,0.0,1,Controls
IN,1,2011.0,0.0,0.0,1,Controls
KS,1,2011.0,0.0,0.0,1,Controls
KY,0,,0.0,0.0,1,CorpOnly
LA,1,2011.0,0.0,0.0,0,Controls
MA,0,,0.0,0.0,1,CorpOnly
MD,0,,0.0,0.0,1,Controls
ME,1,2011.0,0.0,0.0,1,Controls
MI,1,2011.0,0.0,0.0,1,CorpUnion
MN,0,,0.0,0.0,1,CorpOnly
MO,0,,0.0,0.0,1,Controls
MS,1,2012.0,0.0,0.0,1,Controls
MT,0,,0.0,0.0,1,CorpOnly
NC,1,2013.0,0.0,0.0,1,CorpUnion
ND,0,,1.0,1.0,1,CorpUnion
NE,0,,,,0,Controls
NH,0,,0.0,0.0,1,CorpUnion
NJ,0,,0.0,0.0,1,Controls
NM,0,,0.0,0.0,1,Controls
NV,0,,0.0,0.0,1,Controls
NY,0,,0.0,0.0,1,Controls
OH,1,2011.0,0.0,0.0,1,CorpUnion
OK,1,2011.0,0.0,0.0,1,CorpUnion
OR,0,,0.0,0.0,1,Controls
PA,1,2011.0,0.0,0.0,1,CorpUnion
RI,0,,0.0,0.0,1,CorpUnion
SC,0,,1.0,1.0,1,Controls
SD,0,,1.0,1.0,0,Controls
TN,1,2011.0,0.0,0.0,1,CorpOnly
TX,0,,1.0,1.0,1,CorpUnion
UT,0,,1.0,1.0,1,Controls
VA,1,2012.0,0.0,0.0,1,Controls
VT,0,,0.0,0.0,1,Controls
WA,0,,0.0,0.0,1,Controls
WI,1,2011.0,0.0,0.0,1,CorpUnion
WV,0,,0.0,0.0,1,CorpOnly
WY,1,2011.0,0.0,0.0,1,CorpUnion
