outcome,spec_order,spec,spec_label,sample,key_table,corp_union_coef,corp_union_se,corp_union_p,corp_only_coef,corp_only_se,corp_only_p,added_terms,added_1_term,added_1_coef,added_1_se,added_1_p,added_2_term,added_2_coef,added_2_se,added_2_p,nobs,clusters,formula,attenuation_vs_matched_sample_pct,attenuation_vs_a_pct,attenuation_vs_restricted_baseline_pct
atr_top1,0,a_baseline,(a) Baseline,full,True,-0.6726970893786492,0.2857553134010692,0.022893726463027723,0.19868114305808454,0.3174059069975184,0.5344395873017395,,,,,,,,,,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year),,0.0,1.320324457655225e-12
atr_top1,1,b_acquirer,(b) + CU x R-trifecta acquirer,full,True,-0.5645371652584247,0.3028906295965858,0.06873526122464722,0.16893716392501507,0.30938073379254927,0.5876706575007472,CU x R-trifecta acquirer,CU x R-trifecta acquirer,-0.281215802712591,0.24609798629442736,0.259076554710241,,,,,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_rep_trifecta_acq + C(state) + C(year),,16.078547956871457,16.078547956872566
atr_top1,2,c_contemporaneous,(c) + R trifecta (t),full,True,-0.6401269433600936,0.29212357228117175,0.033533235350808106,0.21024590505016694,0.31286823579983497,0.5049481577829658,R trifecta (t),R trifecta (t),-0.147273703736032,0.12476295645743356,0.24389808219829473,,,,,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta + C(state) + C(year),,4.841725426319263,4.84172542632052
atr_top1,3,c_lagged,(c-lag) + R trifecta (t-1),full,True,-0.6023402133045157,0.27914764208503856,0.036200809574616806,0.21394595181356432,0.3052456959509834,0.48689749690667333,R trifecta (t-1),R trifecta (t-1),-0.2054354909694986,0.12426565840434377,0.105100824154082,,,,,799,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta_lag + C(state) + C(year),6.767299029489427,10.458923813557771,10.458923813558952
atr_top1,4,d_redmap,(d) + CU x REDMAP,full,True,-0.7364077298696616,0.3362791721956738,0.03364251924515181,0.19868114305807652,0.3176095681715037,0.5347005798299274,CU x REDMAP,CU x REDMAP,0.1380397210638563,0.5088892803604239,0.787407077707626,,,,,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_redmap + C(state) + C(year),,-9.470925546869847,-9.470925546868402
atr_top1,5,e_acquirer_redmap,(e) + acquirer and REDMAP,full,True,-0.6726775594461212,0.36944034070988246,0.07514538699451241,0.16460320470660167,0.30865293590414683,0.5963965181561822,CU x R-trifecta acquirer; CU x REDMAP,CU x R-trifecta acquirer,-0.32219141714118715,0.21935624101183657,0.1486917434838376,CU x REDMAP,0.26845053276385134,0.5029328368287445,0.5960706537494446,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_rep_trifecta_acq + cu_x_redmap + C(state) + C(year),,0.002903228338049169,0.002903228339369455
atr_top1,10,f_both_no_bans,(f) Acquirer + REDMAP; no ban terms,full,True,,,,,,,CU x R-trifecta acquirer; CU x REDMAP,CU x R-trifecta acquirer,-0.4444328766110164,0.1990494154966851,0.030471692027476703,CU x REDMAP,-0.2494444441865429,0.38633518045061693,0.5217020316450375,846,47,atr_top1 ~ cu_x_rep_trifecta_acq + cu_x_redmap + C(state) + C(year),,,
atr_top1,12,g_restricted_contemporaneous,(g) Restricted + R trifecta (t),restricted,True,-0.6494450024633013,0.29343514495284156,0.03295930585785644,,,,R trifecta (t),R trifecta (t),-0.10513987126947655,0.1394635780021584,0.4555629505593787,,,,,702,39,atr_top1 ~ cu_x_corp_union + rep_trifecta + C(state) + C(year),,3.456546383577376,3.4565463835786505
atr_top1,13,g_restricted_lagged,(g-lag) Restricted + R trifecta (t-1),restricted,True,-0.6156639641504955,0.2792896574489827,0.03362517061471669,,,,R trifecta (t-1),R trifecta (t-1),-0.1428299147052825,0.13755062819247868,0.30565530450219014,,,,,663,39,atr_top1 ~ cu_x_corp_union + rep_trifecta_lag + C(state) + C(year),4.704993955065258,8.478277389431486,8.478277389432694
rs,0,a_baseline,(a) Baseline,full,True,-0.08930124326246876,0.034824462393699775,0.013667896411208351,0.022979930354709903,0.046236414096309,0.6215496566985668,,,,,,,,,,846,47,rs ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year),,0.0,1.4607994315380334e-12
