state,year,governor_party,lower_chamber_majority_party,upper_chamber_majority_party,rep_trifecta,source,source_url
AK,2004,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2005,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2006,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2007,Republican,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2008,Republican,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2009,Republican,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2010,Republican,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2011,Republican,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2012,Republican,Republican,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2013,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2014,Republican,Republican,Republican,1,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2015,Independent,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2016,Independent,Republican,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2017,Independent,Democratic,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2018,Independent,Democratic,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2019,Republican,Split,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2020,Republican,Split,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AK,2021,Republican,Split,Republican,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2004,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2005,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2006,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2007,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
AL,2008,Republican,Democratic,Democratic,0,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas
