year,source,source_url,jurisdictions,rows
2004,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2004,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2005,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2005,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2006,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2006,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2007,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2007,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2008,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2008,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2009,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2009,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2010,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2010,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2011,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2011,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2012,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2012,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2013,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2013,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2014,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2014,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2015,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2015,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2016,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2016,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2017,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2017,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2018,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2018,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2019,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2019,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2020,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2020,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
2021,Ballotpedia_component_history_retrieved_2026-08-23,https://ballotpedia.org/State_government_trifectas,50,50
2021,Task_DC_override_with_NCSL_definition_retrieved_2026-08-23,https://www.ncsl.org/about-state-legislatures/state-partisan-composition,1,1
