year,atr_top1_control,atr_top1_corp_only,atr_top1_corp_union,rs_control,rs_corp_only,rs_corp_union,gap_cw_ctrl_atr_top1,gap_cw_ctrl_rs
2004,5.692,5.521,4.132,0.661,0.619,0.451,-1.56,-0.21
2005,5.648,5.427,4.097,0.65,0.605,0.445,-1.551,-0.205
2006,5.578,5.43,4.005,0.647,0.603,0.436,-1.573,-0.211
2007,5.549,5.42,3.898,0.654,0.606,0.426,-1.651,-0.228
2008,5.601,5.424,3.798,0.658,0.602,0.417,-1.803,-0.241
2009,5.793,5.491,3.767,0.692,0.618,0.429,-2.026,-0.263
2010,5.78,5.494,3.724,0.686,0.612,0.424,-2.056,-0.262
2011,5.847,5.652,3.618,0.686,0.649,0.401,-2.229,-0.285
2012,5.851,5.647,3.581,0.686,0.644,0.387,-2.27,-0.299
2013,5.731,5.879,3.502,0.672,0.674,0.379,-2.229,-0.293
2014,5.723,5.871,3.369,0.671,0.678,0.362,-2.354,-0.309
2015,5.68,5.899,3.244,0.679,0.684,0.35,-2.436,-0.329
2016,5.564,5.884,3.237,0.67,0.686,0.35,-2.327,-0.32
2017,5.663,5.876,3.227,0.678,0.673,0.353,-2.436,-0.325
2018,5.745,5.683,3.228,0.696,0.638,0.351,-2.517,-0.345
2019,5.651,5.617,3.178,0.692,0.646,0.357,-2.473,-0.335
2020,5.705,5.601,3.177,0.7,0.645,0.361,-2.528,-0.339
2021,5.674,5.595,3.126,0.696,0.643,0.351,-2.548,-0.345
