outcome,dropped,b2,diff
atr_top1,AK,-0.7225769982207013,-0.9212581412787797
atr_top1,AZ,-0.7093681874909162,-0.9080493305489948
atr_top1,MI,-0.739541634836856,-0.9382227778949348
atr_top1,NH,-0.7227965800204198,-0.9214777230784984
atr_top1,NC,-0.5761151181891659,-0.7747962612472445
atr_top1,ND,-0.5640385631604604,-0.7627197062185391
atr_top1,OH,-0.5611358146255941,-0.759816957683673
atr_top1,OK,-0.6455450721264424,-0.8442262151845213
atr_top1,PA,-0.7225807729380841,-0.921261915996163
atr_top1,RI,-0.5848126861244527,-0.7834938291825314
atr_top1,TX,-0.7225769982206989,-0.9212581412787777
atr_top1,WI,-0.7513967377478876,-0.9500778808059667
atr_top1,WY,-0.7225769982206993,-0.921258141278778
atr_top1,NC+ND+OH,-0.29253496278578944,-0.4912161058438681
atr_top1,NC,-0.5761151181891659,-0.7747962612472445
atr_top1,NC+OH,-0.44563173016861457,-0.6443128732266928
rs,AK,-0.09473885834521573,-0.11771878869992487
rs,AZ,-0.0932524961308375,-0.11623242648554676
rs,MI,-0.09707929840240337,-0.12005922875711258
rs,NH,-0.09475167431976025,-0.11773160467446947
rs,NC,-0.07443585136910584,-0.09741578172381506
rs,ND,-0.07595021813050264,-0.09893014848521187
rs,OH,-0.07572857055108652,-0.09870850090579576
rs,OK,-0.09267416800478896,-0.11565409835949819
rs,PA,-0.09263239222126718,-0.11561232257597641
rs,RI,-0.08167779805485759,-0.10465772840956683
rs,TX,-0.09473885834521538,-0.11771878869992462
rs,WI,-0.09851712019183051,-0.12149705054653975
rs,WY,-0.09473885834521543,-0.11771878869992466
rs,NC+ND+OH,-0.039154335578416744,-0.062134265933125946
rs,NC,-0.07443585136910584,-0.09741578172381506
rs,NC+OH,-0.058277900057293074,-0.08125783041200227
