group,b1_corp_only,b2_corp_union,se2,p2,mean_agi_2010usd,dollar_effect_cw
agi_bottom20,-0.199,0.206,0.133,0.128,8649,18
agi_20_80,0.133,-0.19,0.131,0.152,47929,-91
agi_80_95,0.13,-0.329,0.17,0.059,132064,-434
agi_95_99,0.158,-0.484,0.221,0.034,329408,-1595
agi_top1,0.199,-0.673,0.286,0.023,1340002,-9014
nw_top5,0.181,-0.583,0.254,0.026,437316,-2549
nw_top1,0.162,-0.662,0.279,0.022,957239,-6336
capshare_gt50_agi50k,0.053,-0.53,0.224,0.022,411063,-2179
capshare_lt10_agi50k,0.162,-0.392,0.182,0.037,129470,-508
wagesh_gt90_top5,0.17,-0.544,0.232,0.024,467640,-2543
age65plus,0.185,-0.307,0.166,0.071,63039,-194
married_kids,0.134,-0.359,0.174,0.045,106511,-382
