state,year,atr,atr_top5,atr_top1,atr_top5nw,atr_top1nw,rs,beta
AK,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2004,3.564301367601932,3.3895244934882425,3.3103041134144795,3.4109462941773607,3.397212990952767,0.012869893861144899,1.0784511834906403
AL,2005,3.5722354948924333,3.387323775022376,3.310175814315195,3.410010381532466,3.3967657790096935,0.006001819674139597,1.019328816235221
AL,2006,3.585577169905873,3.3989669194668486,3.324983244008767,3.4217691091527693,3.410470930681925,0.001600851956051752,0.9725069475778185
AL,2007,3.558500148441503,3.4018174163287322,3.3263207153348504,3.4243428182403206,3.4118314115244304,0.041104397742763865,1.7293303357475047
AL,2008,3.572718538996235,3.4119127210671705,3.3430850330522386,3.4357942480669097,3.425567625340716,0.0325379817023852,1.6516342840701161
AL,2009,3.584559342979749,3.4153519065133784,3.346191089967654,3.4403759810975774,3.4279775977268945,0.03217466551981296,1.6634510078135314
AL,2010,3.590171025113561,3.426137474430874,3.363700435869213,3.4513754689563667,3.4417427241700036,0.03010087721639909,1.6332547928809296
AL,2011,3.624782815297189,3.4427513479110257,3.3712239308861207,3.4663171194354643,3.449414061193109,0.02403886760551366,1.5922208668620264
AL,2012,3.633713831880677,3.445185670158054,3.3715977435364746,3.4684083452321417,3.450191167299659,0.019068970331292956,1.5496968044434616
AL,2013,3.543244884217918,3.228024849160997,3.033228029104377,3.236162913802501,3.109566616208937,-0.01624577402820071,1.3759019353327435
AL,2014,3.54788433246199,3.2272493622013783,3.0328860002455467,3.235775081482113,3.109180750887169,-0.020197185853609856,1.340540506169254
AL,2015,3.5532643662333956,3.231368319347803,3.035184317305221,3.2396559557604023,3.1114859598057145,-0.02035008306956465,1.3416762195212542
AL,2016,3.554746899214563,3.229593019897869,3.0341307297773947,3.2380698711838294,3.1103965040641377,-0.02327258626819706,1.3131990498612387
AL,2017,3.5535718446746336,3.221080248207238,3.0296385186117574,3.230946417076199,3.1060596252862,-0.02886701223978605,1.2610708298664997
AL,2018,3.689481129932832,3.3821480882917583,3.1604383273870473,3.3803387071510005,3.228607209721778,-0.015259760809516187,1.3515627677196251
AL,2019,3.690447412278816,3.3810282306585937,3.16014201107796,3.37975461797792,3.2281870477322694,-0.015498261568480665,1.312607411568857
AL,2020,3.694287657356025,3.380178705720984,3.159956448761739,3.3795103671387063,3.228010500861344,-0.0184280516372759,1.2860924094287163
AL,2021,3.708848950208334,3.3688215183846033,3.15291524511152,3.3697323269926214,3.2209251142123168,-0.03095734524931615,1.1784276116936248
AR,2004,5.277722850360416,6.744933966533456,6.909321445013729,6.665795035170549,6.785665403167356,0.7501148524566847,5.925670737816358
