outcome,state,group,did
atr_top1,AK,corp_union,-0.07413818327399024
atr_top1,AZ,corp_union,-0.23264391203138057
atr_top1,MI,corp_union,0.12943745611989765
atr_top1,NH,corp_union,-0.07150320167733659
atr_top1,NC,corp_union,-1.831680743652388
atr_top1,ND,corp_union,-1.976599403996857
atr_top1,OH,corp_union,-2.011432386415251
atr_top1,OK,corp_union,-0.9985212964050687
atr_top1,PA,corp_union,-0.07409288666536895
atr_top1,RI,corp_union,-1.7273099284289506
atr_top1,TX,corp_union,-0.07413818327399024
atr_top1,WI,corp_union,0.2716986910522765
atr_top1,WY,corp_union,-0.07413818327399024
atr_top1,CT,corp_only,1.6318540296128878
atr_top1,IA,corp_only,-0.3486094225575096
atr_top1,KY,corp_only,-0.3787572659433529
atr_top1,MA,corp_only,-0.21672302535801968
atr_top1,MN,corp_only,1.4029984463555056
atr_top1,MT,corp_only,-0.23142416158127332
atr_top1,TN,corp_only,-0.21650656411657548
atr_top1,WV,corp_only,-0.053382891947034494
rs,AK,corp_union,-0.02404986226950201
rs,AZ,corp_union,-0.04188620884203642
rs,MI,corp_union,0.004035418416753589
rs,NH,corp_union,-0.02389607057496343
rs,NC,corp_union,-0.2676859459828169
rs,ND,corp_union,-0.24951354484605548
rs,OH,corp_union,-0.2521733157990489
rs,OK,corp_union,-0.048826146354618905
rs,PA,corp_union,-0.04932745575688016
rs,RI,corp_union,-0.1807825857537958
rs,TX,corp_union,-0.02404986226950201
rs,WI,corp_union,0.021289279889879165
rs,WY,corp_union,-0.02404986226950201
rs,CT,corp_only,0.2780822949746651
rs,IA,corp_only,-0.014692362437563555
rs,KY,corp_only,-0.08882090035447299
rs,MA,corp_only,-0.02501696447458146
rs,MN,corp_only,0.1392447506388821
rs,MT,corp_only,-0.030757896504343685
rs,TN,corp_only,-0.03975406274931594
rs,WV,corp_only,-0.03444541625559616
